Row ID,Product,Sales,Profit
1,Bookcases,261.96,41.9136
2,Chairs,731.94,219.582
3,Labels,14.62,6.8714
4,Tables,957.5775,-383.031
5,Storage,22.368,2.5164
6,Furnishings,48.86,14.1694
7,Art,7.28,1.9656
8,Phones,907.152,90.7152
9,Binders,18.504,5.7825
10,Appliances,114.9,34.47
11,Tables,1706.184,85.3092
12,Phones,911.424,68.3568
13,Paper,15.552,5.4432
14,Binders,407.976,132.5922
15,Appliances,68.81,-123.858
16,Binders,2.544,-3.816
17,Storage,665.88,13.3176
18,Storage,55.5,9.99
19,Art,8.56,2.4824
20,Phones,213.48,16.011
21,Binders,22.72,7.384
22,Art,19.46,5.0596
23,Appliances,60.34,15.6884
24,Chairs,71.372,-1.0196
25,Tables,1044.63,240.2649
26,Binders,11.648,4.2224
27,Accessories,90.57,11.7741
28,Bookcases,3083.43,-1665.0522
29,Binders,9.618,-7.0532
30,Furnishings,124.2,15.525
31,Envelopes,3.264,1.1016
32,Art,86.304,9.7092
33,Binders,6.858,-5.715
34,Art,15.76,3.546
35,Paper,29.472,9.9468
36,Phones,1097.544,123.4737
37,Furnishings,190.92,-147.963
38,Envelopes,113.328,35.415
39,Bookcases,532.3992,-46.9764
40,Chairs,212.058,-15.147
41,Phones,371.168,41.7564
42,Phones,147.168,16.5564
43,Storage,77.88,3.894
44,Storage,95.616,9.5616
45,Accessories,45.98,19.7714
46,Binders,17.46,8.2062
47,Storage,211.96,8.4784
48,Accessories,45,4.95
49,Phones,21.8,6.104
50,Binders,38.22,17.9634
51,Labels,75.18,35.3346
52,Furnishings,6.16,2.9568
53,Chairs,89.99,17.0981
54,Fasteners,15.26,6.2566
55,Phones,1029.95,298.6855
56,Storage,208.56,52.14
57,Paper,32.4,15.552
58,Chairs,319.41,7.098
59,Paper,14.56,6.9888
60,Accessories,30,3.3
61,Binders,48.48,16.362
62,Art,1.68,0.84
63,Accessories,13.98,6.1512
64,Binders,25.824,9.3612
65,Paper,146.73,68.9631
66,Furnishings,79.76,22.3328
67,Chairs,213.115,-15.2225
68,Art,1113.024,111.3024
69,Phones,167.968,62.988
70,Paper,75.88,35.6636
71,Binders,4.616,1.731
72,Paper,19.05,8.763
73,Chairs,831.936,-114.3912
74,Furnishings,97.04,1.213
75,Storage,72.784,-18.196
76,Binders,1.248,-1.9344
77,Furnishings,9.708,-5.8248
78,Storage,27.24,2.724
79,Furnishings,19.3,-14.475
80,Appliances,208.16,56.2032
81,Binders,16.74,8.0352
82,Art,14.9,4.172
83,Storage,21.39,6.2031
84,Envelopes,200.984,62.8075
85,Storage,230.376,-48.9549
86,Chairs,301.96,33.2156
87,Accessories,19.99,6.7966
88,Labels,6.16,2.9568
89,Storage,158.368,13.8572
90,Art,20.1,6.633
91,Phones,73.584,8.2782
92,Paper,6.48,3.1104
93,Paper,12.96,6.2208
94,Furnishings,53.34,16.5354
95,Binders,32.96,16.1504
96,Binders,5.682,-3.788
97,Furnishings,96.53,40.5426
98,Binders,51.312,17.9592
99,Appliances,77.88,22.5852
100,Paper,64.624,22.6184
101,Accessories,95.976,-10.7973
102,Binders,1.788,-3.0396
103,Paper,23.92,11.7208
104,Accessories,238.896,-26.8758
105,Furnishings,102.36,-3.8385
106,Binders,36.882,-25.8174
107,Accessories,74.112,17.6016
108,Phones,27.992,2.0994
109,Art,3.304,1.0738
